band_number,yyyymm
1,198103
2,198104
3,198105
4,198106
5,198107
6,198108
7,198109
8,198110
9,198111
10,198112
11,198201
12,198202
13,198203
14,198204
15,198205
16,198206
17,198207
18,198208
19,198209
20,198210
21,198211
22,198212
23,198301
24,198302
25,198303
26,198304
27,198305
28,198306
29,198307
30,198308
31,198309
32,198310
33,198311
34,198312
35,198401
36,198402
37,198403
38,198404
39,198405
40,198406
41,198407
42,198408
43,198409
44,198410
45,198411
46,198412
47,198501
48,198502
49,198503
50,198504
51,198505
52,198506
53,198507
54,198508
55,198509
56,198510
57,198511
58,198512
59,198601
60,198602
61,198603
62,198604
63,198605
64,198606
65,198607
66,198608
67,198609
68,198610
69,198611
70,198612
71,198701
72,198702
73,198703
74,198704
75,198705
76,198706
77,198707
78,198708
79,198709
80,198710
81,198711
82,198712
83,198801
84,198802
85,198803
86,198804
87,198805
88,198806
89,198807
90,198808
91,198809
92,198810
93,198811
94,198812
95,198901
96,198902
97,198903
98,198904
99,198905
100,198906
101,198907
102,198908
103,198909
104,198910
105,198911
106,198912
107,199001
108,199002
109,199003
110,199004
111,199005
112,199006
113,199007
114,199008
115,199009
116,199010
117,199011
118,199012
119,199101
120,199102
121,199103
122,199104
123,199105
124,199106
125,199107
126,199108
127,199109
128,199110
129,199111
130,199112
131,199201
132,199202
133,199203
134,199204
135,199205
136,199206
137,199207
138,199208
139,199209
140,199210
141,199211
142,199212
143,199301
144,199302
145,199303
146,199304
147,199305
148,199306
149,199307
150,199308
151,199309
152,199310
153,199311
154,199312
155,199401
156,199402
157,199403
158,199404
159,199405
160,199406
161,199407
162,199408
163,199409
164,199410
165,199411
166,199412
167,199501
168,199502
169,199503
170,199504
171,199505
172,199506
173,199507
174,199508
175,199509
176,199510
177,199511
178,199512
179,199601
180,199602
181,199603
182,199604
183,199605
184,199606
185,199607
186,199608
187,199609
188,199610
189,199611
190,199612
191,199701
192,199702
193,199703
194,199704
195,199705
196,199706
197,199707
198,199708
199,199709
200,199710
201,199711
202,199712
203,199801
204,199802
205,199803
206,199804
207,199805
208,199806
209,199807
210,199808
211,199809
212,199810
213,199811
214,199812
215,199901
216,199902
217,199903
218,199904
219,199905
220,199906
221,199907
222,199908
223,199909
224,199910
225,199911
226,199912
227,200001
228,200002
229,200003
230,200004
231,200005
232,200006
233,200007
234,200008
235,200009
236,200010
237,200011
238,200012
239,200101
240,200102
241,200103
242,200104
243,200105
244,200106
245,200107
246,200108
247,200109
248,200110
249,200111
250,200112
251,200201
252,200202
253,200203
254,200204
255,200205
256,200206
257,200207
258,200208
259,200209
260,200210
261,200211
262,200212
263,200301
264,200302
265,200303
266,200304
267,200305
268,200306
269,200307
270,200308
271,200309
272,200310
273,200311
274,200312
275,200401
276,200402
277,200403
278,200404
279,200405
280,200406
281,200407
282,200408
283,200409
284,200410
285,200411
286,200412
287,200501
288,200502
289,200503
290,200504
291,200505
292,200506
293,200507
294,200508
295,200509
296,200510
297,200511
298,200512
299,200601
300,200602
301,200603
302,200604
303,200605
304,200606
305,200607
306,200608
307,200609
308,200610
309,200611
310,200612
311,200701
312,200702
313,200703
314,200704
315,200705
316,200706
317,200707
318,200708
319,200709
320,200710
321,200711
322,200712
323,200801
324,200802
325,200803
326,200804
327,200805
328,200806
329,200807
330,200808
331,200809
332,200810
333,200811
334,200812
335,200901
336,200902
337,200903
338,200904
339,200905
340,200906
341,200907
342,200908
343,200909
344,200910
345,200911
346,200912
347,201001
348,201002
349,201003
350,201004
351,201005
352,201006
353,201007
354,201008
355,201009
356,201010
357,201011
358,201012
359,201101
360,201102
361,201103
362,201104
363,201105
364,201106
365,201107
366,201108
367,201109
368,201110
369,201111
370,201112
371,201201
372,201202
373,201203
374,201204
375,201205
376,201206
377,201207
378,201208
379,201209
380,201210
381,201211
382,201212
383,201301
384,201302
385,201303
386,201304
387,201305
388,201306
389,201307
390,201308
391,201309
392,201310
393,201311
394,201312
395,201401
396,201402
397,201403
398,201404
399,201405
400,201406
401,201407
402,201408
403,201409
404,201410
405,201411
406,201412
407,201501
408,201502
409,201503
410,201504
411,201505
412,201506
413,201507
414,201508
415,201509
416,201510
417,201511
418,201512
419,201601
420,201602
421,201603
422,201604
423,201605
424,201606
425,201607
426,201608
427,201609
428,201610
429,201611
430,201612
431,201701
432,201702
433,201703
434,201704
435,201705
436,201706
437,201707
438,201708
439,201709
440,201710
441,201711
442,201712
443,201801
444,201802
445,201803
446,201804
447,201805
448,201806
449,201807
450,201808
451,201809
452,201810
453,201811
454,201812
455,201901
456,201902
457,201903
458,201904
459,201905
460,201906
461,201907
462,201908
463,201909
464,201910
465,201911
466,201912
467,202001
468,202002
469,202003
470,202004
471,202005
472,202006
473,202007
474,202008
475,202009
476,202010
477,202011
478,202012
479,202101
480,202102
481,202103
482,202104
483,202105
484,202106
485,202107
486,202108
487,202109
488,202110
489,202111
490,202112
491,202201
492,202202
493,202203
494,202204
495,202205
496,202206
497,202207
498,202208
499,202209
500,202210
501,202211
502,202212
503,202301
504,202302
505,202303
506,202304
507,202305
508,202306
509,202307
510,202308
511,202309
512,202310
513,202311
514,202312
515,202401
516,202402
517,202403
518,202404
519,202405
520,202406
521,202407
522,202408
523,202409
524,202410
525,202411
526,202412
