source_group,path,relative_path,manifest_read_status,top_level_keys,feature_or_contract_keys,horizon_references,mentions_rainfall_or_spi,mentions_temporal_features,error
training_release_package_artifacts,C:\Projects\ramangwana\risks\data\drought_model\processed\package_releases\rozvidrought_v2\rozvidrought\artifacts\fusion_v2\v2_20260617\checksums.json,fusion_v2\v2_20260617\checksums.json,read_ok,"package_name, release_version, target_key, bundle_dir, created_utc, created_by_notebook, created_by_cell, checksum_algorithm, refresh_reason, checksums_json_policy, required_files, missing_required_files, required_file_status, file_count_excluding_checksums_json, files",,fusion_v2,False,False,
training_release_package_artifacts,C:\Projects\ramangwana\risks\data\drought_model\processed\package_releases\rozvidrought_v2\rozvidrought\artifacts\fusion_v2\v2_20260617\fusion_feature_contract.json,fusion_v2\v2_20260617\fusion_feature_contract.json,read_ok,"fusion_key, release_version, run_id, input_type, required_input_columns, required_targets, target_probability_columns, target_class_columns, target_confidence_columns, target_warning_columns, output_columns, feature_source_policy",feature_source_policy | feature_source_policy.uses_legacy_subsystem_probabilities | feature_source_policy.uses_raw_environmental_features | feature_source_policy.uses_spi_labels | feature_source_policy.uses_target_model_outputs | output_columns | required_input_columns | target_class_columns | target_class_columns.spi12 | target_class_columns.spi3 | target_class_columns.spi6 | target_confidence_columns | target_confidence_columns.spi12 | target_confidence_columns.spi3 | target_confidence_columns.spi6 | target_probability_columns | target_probability_columns.spi12 | target_probability_columns.spi3 | target_probability_columns.spi6 | target_warning_columns | target_warning_columns.spi12 | target_warning_columns.spi3 | target_warning_columns.spi6,"spi3, spi6, spi12, fusion_v2",True,True,
training_release_package_artifacts,C:\Projects\ramangwana\risks\data\drought_model\processed\package_releases\rozvidrought_v2\rozvidrought\artifacts\fusion_v2\v2_20260617\fusion_manifest.json,fusion_v2\v2_20260617\fusion_manifest.json,read_ok,"fusion_key, release_version, fusion_type, fusion_status, created_utc, target_bundle_index, class4_policy, source_fusion_contract_json, checksums_status, checksums_generated_utc, checksums_file, checksums_refreshed_utc, latest_rules_source, latest_threshold_policy_source, latest_function_contract_source, class4_warning_logic",latest_function_contract_source | source_fusion_contract_json | target_bundle_index.spi12.feature_contract | target_bundle_index.spi12.preprocessing_contract | target_bundle_index.spi12.target_contract | target_bundle_index.spi3.feature_contract | target_bundle_index.spi3.preprocessing_contract | target_bundle_index.spi3.target_contract | target_bundle_index.spi6.feature_contract | target_bundle_index.spi6.preprocessing_contract | target_bundle_index.spi6.target_contract,"spi3, spi6, spi12, fusion_v2",True,False,
training_release_package_artifacts,C:\Projects\ramangwana\risks\data\drought_model\processed\package_releases\rozvidrought_v2\rozvidrought\artifacts\fusion_v2\v2_20260617\fusion_rules.json,fusion_v2\v2_20260617\fusion_rules.json,read_ok,"fusion_key, release_version, run_id, fusion_type, status, important_status, target_roles, target_weights, probability_fusion_rule, expected_severity_rule, agreement_rule, confidence_rule, warning_logic",,"spi3, spi6, spi12, fusion_v2",True,True,
training_release_package_artifacts,C:\Projects\ramangwana\risks\data\drought_model\processed\package_releases\rozvidrought_v2\rozvidrought\artifacts\fusion_v2\v2_20260617\metrics.json,fusion_v2\v2_20260617\metrics.json,read_ok,"fusion_key, release_version, status, metrics",,fusion_v2,False,False,
training_release_package_artifacts,C:\Projects\ramangwana\risks\data\drought_model\processed\package_releases\rozvidrought_v2\rozvidrought\artifacts\fusion_v2\v2_20260617\target_bundle_index.json,fusion_v2\v2_20260617\target_bundle_index.json,read_ok,"spi3, spi6, spi12",spi12.feature_contract | spi12.preprocessing_contract | spi12.target_contract | spi3.feature_contract | spi3.preprocessing_contract | spi3.target_contract | spi6.feature_contract | spi6.preprocessing_contract | spi6.target_contract,"spi3, spi6, spi12",True,False,
training_release_package_artifacts,C:\Projects\ramangwana\risks\data\drought_model\processed\package_releases\rozvidrought_v2\rozvidrought\artifacts\fusion_v2\v2_20260617\thresholds.json,fusion_v2\v2_20260617\thresholds.json,read_ok,"fusion_key, release_version, run_id, class4_policy",,"spi3, spi6, spi12, fusion_v2",True,False,
training_release_package_artifacts,C:\Projects\ramangwana\risks\data\drought_model\processed\package_releases\rozvidrought_v2\rozvidrought\artifacts\release_checksum_index_v2_20260617.json,release_checksum_index_v2_20260617.json,read_ok,"run_id, created_utc, notebook, cell, stage, package_name, release_version, overall_status, checksum_algorithm, inputs, release_staging_root, bundles, bundle_rows, release_policy, next_cell_goal, previous_checksum_index_json",inputs.release_contract_json,"spi3, spi6, spi12, fusion_v2",True,False,
training_release_package_artifacts,C:\Projects\ramangwana\risks\data\drought_model\processed\package_releases\rozvidrought_v2\rozvidrought\artifacts\spi12\v2_20260617\checksums.json,spi12\v2_20260617\checksums.json,read_ok,"package_name, release_version, target_key, bundle_dir, created_utc, created_by_notebook, created_by_cell, checksum_algorithm, checksums_json_policy, required_files, missing_required_files, required_file_status, file_count_excluding_checksums_json, files",,spi12,True,False,
training_release_package_artifacts,C:\Projects\ramangwana\risks\data\drought_model\processed\package_releases\rozvidrought_v2\rozvidrought\artifacts\spi12\v2_20260617\class_mapping.json,spi12\v2_20260617\class_mapping.json,read_ok,"target_key, release_version, class_mapping",,spi12,True,False,
