row,col,yyyymm,fusion_v2_p0_direct,fusion_v2_p1_direct,fusion_v2_p2_direct,fusion_v2_p3_direct,fusion_v2_p4_direct,fusion_v2_p0_stored,fusion_v2_p1_stored,fusion_v2_p2_stored,fusion_v2_p3_stored,fusion_v2_p4_stored,_seed_key,fusion_v2_p0_abs_delta,fusion_v2_p1_abs_delta,fusion_v2_p2_abs_delta,fusion_v2_p3_abs_delta,fusion_v2_p4_abs_delta
58,29,201905,0.2258097995072603,0.25100189745426177,0.4655735473148525,0.040139473322778944,0.017475275695323943,0.2258098,0.2510019,0.46557355,0.040139474,0.017475275,58|29|201905,1.8626451214753814e-09,2.980232227667301e-09,1.955777373385814e-09,6.519257980674986e-10,3.725290284584126e-10
43,18,201512,0.002784149290528148,0.05562320640310645,0.8026651501655578,0.11265102438628673,0.026276442176458657,0.0027841495,0.055623207,0.8026652,0.11265103,0.026276443,43|18|201512,1.9790604745273388e-10,8.381903157661519e-10,2.384185793236071e-08,3.3527612769423953e-09,9.771611089726129e-10
71,24,202404,0.1756206712918356,0.300212537124753,0.4948898203670979,0.0285771792056039,0.0006997856231464539,0.17562068,0.30021253,0.49488983,0.028577179,0.0006997856,71|24|202404,3.79513950821142e-09,4.842877376898258e-09,5.215406384539989e-09,4.889443537547944e-10,2.692104319416272e-11
15,11,201806,0.9725688576698303,0.023756745643913748,0.003204182191984728,0.0004434620168467518,2.674599327292526e-05,0.97256887,0.023756746,0.0032041825,0.00044346205,2.6745995e-05,15|11|201806,1.1920929021691506e-08,5.587935426876189e-10,2.9685907074541995e-10,3.2741809263825417e-11,1.2732925845149786e-12
101,47,202010,0.8936634719371797,0.09744029485591454,0.008757348132530752,0.0001330531411440461,5.810806374029199e-06,0.89366347,0.097440295,0.008757348,0.00013305314,5.810806e-06,101|47|202010,5.9604645663569045e-09,6.548361852765083e-11,3.9835867243764866e-11,3.456079877579149e-12,1.591615734878888e-13
38,136,201805,0.9565295696258544,0.0426446644589305,0.0006541542155900971,0.00014834405592409894,2.3266749258255005e-05,0.95652956,0.042644665,0.0006541542,0.00014834406,2.326675e-05,38|136|201805,1.1920928910669204e-08,1.8626451075975936e-10,8.731149050283937e-12,1.4551915174156743e-12,5.911715547971506e-13
105,104,201903,0.3559785051271319,0.18011666499078274,0.17459748797118663,0.28631587186828256,0.002991448319153278,0.35597852,0.18011667,0.17459749,0.28631586,0.0029914482,105|104|201903,1.3597309611590447e-08,3.3527612630646075e-09,1.117587078436344e-09,1.3504177331924438e-08,1.6261765241679105e-10
19,68,201601,0.026425946969538924,0.4225529879331589,0.5125443994998932,0.03681331621482968,0.0016633677470963449,0.026425947,0.42255297,0.5125444,0.036813315,0.0016633677,19|68|201601,4.656612838382923e-10,1.4901161193847656e-08,5.960464455334602e-09,1.2107193442245645e-09,1.746229831740831e-11
66,143,201511,0.028743054787628355,0.37490641395561397,0.06344828344881534,0.4307327485177666,0.10216950852627632,0.028743055,0.37490642,0.06344828,0.43073276,0.102169506,66|143|201511,6.984919587171845e-11,6.752088665962219e-09,3.3527612630646075e-09,8.335337031706302e-09,2.2744643390915087e-09
47,74,202407,0.07737815827131272,0.4540840283036232,0.43031293377280233,0.03781868023797869,0.0004061956657096744,0.077378154,0.45408404,0.43031293,0.03781868,0.00040619567,47|74|202407,4.470348369256527e-09,1.0430812824591129e-08,2.235174156872688e-09,1.2107193511634584e-09,5.820766069662697e-12
109,161,201610,0.0218242647126317,0.5725904941558838,0.2964914247393608,0.1075725476257503,0.0015212415310088545,0.021824265,0.57259053,0.2964914,0.10757255,0.0015212415,109|161|201610,1.8626451769865326e-10,3.5762786843029915e-08,1.0430812824591129e-08,4.656612873077393e-10,2.9103830456733704e-11
150,163,201905,0.2239030387252569,0.49439105242490766,0.27033692561089995,0.011127806827425958,0.00024118145629472567,0.22390303,0.49439105,0.27033693,0.011127807,0.00024118145,150|163|201905,8.568167675360172e-09,1.4901161415892261e-09,3.725290076417309e-10,3.725290284584126e-10,6.912159755158298e-12
25,165,202307,0.7510818745940924,0.12029178570955992,0.10019789880752797,0.02729773651544747,0.0011306941592920338,0.7510819,0.120291784,0.1001979,0.027297735,0.0011306942,25|165|202307,9.313225746154785e-09,1.303851610012785e-09,2.446176955439583e-09,1.3012140705204178e-09,1.4915713195812197e-11
